epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2019.61,1.94628,2.09628,1.18468,0.77263,0.40037,0.43556,0.24447,1.65469,12.4154,1.24311,0.000475296,0.000475296,0.000475296
2,3976.13,1.788,1.405,1.15193,0.76452,0.41328,0.43908,0.25062,1.59734,5.82959,1.2156,0.000932787,0.000932787,0.000932787
3,6112.52,1.74765,1.2658,1.13044,0.82508,0.41148,0.45581,0.27055,1.60495,3.7536,1.23173,0.00137141,0.00137141,0.00137141
4,8112.9,1.71022,1.19781,1.12305,0.4769,0.43593,0.47385,0.28517,1.53589,2.63509,1.19496,0.00134412,0.00134412,0.00134412
5,10113.2,1.68165,1.15244,1.10919,0.47184,0.42848,0.46767,0.27967,1.57719,1.82237,1.21669,0.00131582,0.00131582,0.00131582
6,12084.2,1.66532,1.13368,1.1121,0.48877,0.44059,0.48741,0.29567,1.50009,1.49628,1.1693,0.00128753,0.00128753,0.00128753
7,14635.7,1.64759,1.10847,1.09605,0.48141,0.44719,0.48661,0.29153,1.48818,1.86072,1.15498,0.00125923,0.00125923,0.00125923
