epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10045.7,1.93601,2.03541,1.19045,0.76911,0.37989,0.41775,0.22955,1.90043,6.52733,1.28219,0.000475676,0.000475676,0.000475676
2,21592.5,1.79314,1.38376,1.15227,0.80367,0.41608,0.4492,0.25694,1.81387,3.5257,1.23255,0.00093316,0.00093316,0.00093316
3,31407.7,1.76103,1.25637,1.13773,0.4793,0.42063,0.46272,0.27641,1.7663,1.87066,1.2242,0.00137178,0.00137178,0.00137178
4,41082.4,1.73295,1.19681,1.12347,0.47289,0.43604,0.47327,0.27959,1.70653,1.92778,1.18026,0.00134412,0.00134412,0.00134412
